class_idx,class_name,rank,concept_idx,concept_name,mean_contribution,num_examples
0,Black footed Albatross,1,321,large wingspan,2.8042486389478047,30
0,Black footed Albatross,2,519,dark wingtips,1.4742415050665538,30
0,Black footed Albatross,3,219,long wings,1.399387208620707,30
0,Black footed Albatross,4,168,black feet,0.8162751530607542,30
0,Black footed Albatross,5,495,large size,0.3117232546210289,30
0,Black footed Albatross,6,313,yellow beak,0.017519241493816177,30
0,Black footed Albatross,7,7,yellow bill,0.0,30
0,Black footed Albatross,8,3,raucous call,0.0,30
0,Black footed Albatross,9,8,small beak,0.0,30
0,Black footed Albatross,10,1,wingspan of up to 3 5 feet,0.0,30
1,Laysan Albatross,1,553,large white bird,2.6339718433717887,30
1,Laysan Albatross,2,222,long white legs,1.4273077671105663,30
1,Laysan Albatross,3,1,wingspan of up to 3 5 feet,1.4138395369052887,30
1,Laysan Albatross,4,215,long yellow bill,0.4017498377710581,30
1,Laysan Albatross,5,196,long hooked beak,0.37403026850273213,30
1,Laysan Albatross,6,7,yellow bill,0.0,30
1,Laysan Albatross,7,3,raucous call,0.0,30
1,Laysan Albatross,8,8,small beak,0.0,30
1,Laysan Albatross,9,4,fast erratic flight patterns,0.0,30
1,Laysan Albatross,10,9,rusty brown feathers,0.0,30
2,Sooty Albatross,1,349,large black bird,1.564616050039019,28
2,Sooty Albatross,2,538,glossy black wings,1.3096614990915572,28
2,Sooty Albatross,3,404,long wingspan,1.1462159241948808,28
2,Sooty Albatross,4,395,white wingtips,0.8030879710401807,28
2,Sooty Albatross,5,330,all dark plumage,0.765506954065391,28
2,Sooty Albatross,6,104,long slim body,0.059224825485476425,28
2,Sooty Albatross,7,7,yellow bill,0.0,28
2,Sooty Albatross,8,3,raucous call,0.0,28
2,Sooty Albatross,9,8,small beak,0.0,28
2,Sooty Albatross,10,1,wingspan of up to 3 5 feet,0.0,28
3,Groove billed Ani,1,41,red eye,1.7593378802140553,30
3,Groove billed Ani,2,198,blue sheen on the wings,0.9598257467150688,30
3,Groove billed Ani,3,530,orange eyes,0.7826615661382675,30
3,Groove billed Ani,4,29,black plumage,0.4973287952442964,30
3,Groove billed Ani,5,3,raucous call,0.0,30
3,Groove billed Ani,6,7,yellow bill,0.0,30
3,Groove billed Ani,7,8,small beak,0.0,30
3,Groove billed Ani,8,1,wingspan of up to 3 5 feet,0.0,30
3,Groove billed Ani,9,4,fast erratic flight patterns,0.0,30
3,Groove billed Ani,10,9,rusty brown feathers,0.0,30
4,Crested Auklet,1,654,black back and wings,4.4271144441195895,14
4,Crested Auklet,2,375,dark gray or black upperparts,1.0785594694316387,14
4,Crested Auklet,3,568,white breast and belly,0.8684621820492404,14
4,Crested Auklet,4,175,black legs and feet,0.44452634267508984,14
4,Crested Auklet,5,3,raucous call,0.0,14
4,Crested Auklet,6,7,yellow bill,0.0,14
4,Crested Auklet,7,8,small beak,0.0,14
4,Crested Auklet,8,1,wingspan of up to 3 5 feet,0.0,14
4,Crested Auklet,9,4,fast erratic flight patterns,0.0,14
4,Crested Auklet,10,9,rusty brown feathers,0.0,14
5,Least Auklet,1,212,black cap and back,2.6675391793251038,11
5,Least Auklet,2,118,webbed toes,1.8488558639179578,11
5,Least Auklet,3,2,white face and underparts,1.5130591284145007,11
5,Least Auklet,4,254,short black bill,1.5091792426326058,11
5,Least Auklet,5,207,black head and back,0.11936077958142216,11
5,Least Auklet,6,7,yellow bill,0.0,11
5,Least Auklet,7,3,raucous call,0.0,11
5,Least Auklet,8,8,small beak,0.0,11
5,Least Auklet,9,1,wingspan of up to 3 5 feet,0.0,11
5,Least Auklet,10,4,fast erratic flight patterns,0.0,11
6,Parakeet Auklet,1,68,black head and upperparts,4.356397012005681,23
6,Parakeet Auklet,2,470,short stubby beak,3.8770403188207876,23
6,Parakeet Auklet,3,493,black wings with white spots,0.6894033821704595,23
6,Parakeet Auklet,4,207,black head and back,0.24467317857172177,23
6,Parakeet Auklet,5,3,raucous call,0.0,23
6,Parakeet Auklet,6,7,yellow bill,0.0,23
6,Parakeet Auklet,7,8,small beak,0.0,23
6,Parakeet Auklet,8,1,wingspan of up to 3 5 feet,0.0,23
6,Parakeet Auklet,9,4,fast erratic flight patterns,0.0,23
6,Parakeet Auklet,10,9,rusty brown feathers,0.0,23
7,Rhinoceros Auklet,1,575,large bulbous beak,1.4123209532764223,18
7,Rhinoceros Auklet,2,496,short thick beak,1.4117418378591537,18
7,Rhinoceros Auklet,3,490,black head and neck,1.231695891254478,18
7,Rhinoceros Auklet,4,100,short wings,0.9669897506634394,18
7,Rhinoceros Auklet,5,30,black and white color scheme,0.39894294407632613,18
7,Rhinoceros Auklet,6,530,orange eyes,0.37785737009512055,18
7,Rhinoceros Auklet,7,7,yellow bill,0.0,18
7,Rhinoceros Auklet,8,3,raucous call,0.0,18
7,Rhinoceros Auklet,9,8,small beak,0.0,18
7,Rhinoceros Auklet,10,1,wingspan of up to 3 5 feet,0.0,18
8,Brewer Blackbird,1,381,yellow or orange beak,2.2687672089253152,28
8,Brewer Blackbird,2,61,black wings,0.8164600433249559,28
8,Brewer Blackbird,3,451,yellow eye,0.7594795147223132,28
8,Brewer Blackbird,4,653,black or dark gray body,0.722960837451475,28
8,Brewer Blackbird,5,3,raucous call,0.0,28
8,Brewer Blackbird,6,7,yellow bill,0.0,28
8,Brewer Blackbird,7,8,small beak,0.0,28
8,Brewer Blackbird,8,1,wingspan of up to 3 5 feet,0.0,28
8,Brewer Blackbird,9,4,fast erratic flight patterns,0.0,28
8,Brewer Blackbird,10,9,rusty brown feathers,0.0,28
9,Red winged Blackbird,1,599,yellow bar on wing,3.813727615773678,30
9,Red winged Blackbird,2,602,red shoulders,3.0517150004704794,30
9,Red winged Blackbird,3,471,all black body,1.0313322643438976,30
9,Red winged Blackbird,4,657,long black beak,0.04827574199686448,30
9,Red winged Blackbird,5,3,raucous call,0.0,30
9,Red winged Blackbird,6,7,yellow bill,0.0,30
9,Red winged Blackbird,7,8,small beak,0.0,30
9,Red winged Blackbird,8,1,wingspan of up to 3 5 feet,0.0,30
9,Red winged Blackbird,9,4,fast erratic flight patterns,0.0,30
9,Red winged Blackbird,10,9,rusty brown feathers,0.0,30
10,Rusty Blackbird,1,285,small blackbird like bird,2.3684895237286887,30
10,Rusty Blackbird,2,9,rusty brown feathers,0.8457322254776954,30
