class_idx,class_name,rank,concept_idx,concept_name,mean_contribution,num_examples
11,Yellow headed Blackbird,1,446,yellow head,4.102466023025604,26
11,Yellow headed Blackbird,2,508,long black wings,3.5554519398854327,26
11,Yellow headed Blackbird,3,61,black wings,1.041750397819739,26
11,Yellow headed Blackbird,4,8,small beak,0.0,26
11,Yellow headed Blackbird,5,7,yellow bill,0.0,26
11,Yellow headed Blackbird,6,3,raucous call,0.0,26
11,Yellow headed Blackbird,7,1,wingspan of up to 3 5 feet,0.0,26
11,Yellow headed Blackbird,8,4,fast erratic flight patterns,0.0,26
11,Yellow headed Blackbird,9,9,rusty brown feathers,0.0,26
11,Yellow headed Blackbird,10,5,red head,0.0,26
