class_idx,class_name,rank,concept_idx,concept_name,mean_contribution,num_examples
14,Lazuli Bunting,1,258,small blue bird,2.786491755928312,28
14,Lazuli Bunting,2,278,thin black bill,2.7471787120614732,28
14,Lazuli Bunting,3,36,blue wings with white bars,2.194154305117471,28
14,Lazuli Bunting,4,308,black collar,1.275257136140551,28
14,Lazuli Bunting,5,33,white chest and belly,0.33985473800982746,28
14,Lazuli Bunting,6,627,black line through the eye,0.31058684550225735,28
14,Lazuli Bunting,7,107,white wing bar,0.2834683603474072,28
14,Lazuli Bunting,8,7,yellow bill,0.0,28
14,Lazuli Bunting,9,3,raucous call,0.0,28
14,Lazuli Bunting,10,8,small beak,0.0,28
