class_idx,class_name,rank,concept_idx,concept_name,mean_contribution,num_examples
0,Black footed Albatross,1,321,large wingspan,4.148253758748372,30
0,Black footed Albatross,2,168,black feet,1.799987647930781,30
0,Black footed Albatross,3,219,long wings,1.6027728041013083,30
0,Black footed Albatross,4,519,dark wingtips,1.5733184258143107,30
0,Black footed Albatross,5,313,yellow beak,1.1153813779354096,30
0,Black footed Albatross,6,91,white body,0.44652102291584017,30
0,Black footed Albatross,7,7,yellow bill,0.34349290827910106,30
0,Black footed Albatross,8,495,large size,0.06114336848258972,30
0,Black footed Albatross,9,48,small sparrow like body,0.01153249959461391,30
0,Black footed Albatross,10,197,streaked chest,0.01120098902999113,30
1,Laysan Albatross,1,553,large white bird,3.6093365947405496,30
1,Laysan Albatross,2,1,wingspan of up to 3 5 feet,3.0206222931543985,30
1,Laysan Albatross,3,222,long white legs,2.3890241543451944,30
1,Laysan Albatross,4,196,long hooked beak,1.8396212796370188,30
1,Laysan Albatross,5,215,long yellow bill,0.6400827457507451,30
1,Laysan Albatross,6,91,white body,0.38242320766051613,30
1,Laysan Albatross,7,7,yellow bill,0.0,30
1,Laysan Albatross,8,3,raucous call,0.0,30
1,Laysan Albatross,9,8,small beak,0.0,30
1,Laysan Albatross,10,4,fast erratic flight patterns,0.0,30
2,Sooty Albatross,1,349,large black bird,2.770220254148756,28
2,Sooty Albatross,2,538,glossy black wings,2.548460296222142,28
2,Sooty Albatross,3,395,white wingtips,2.4263208338192532,28
2,Sooty Albatross,4,404,long wingspan,2.15649020246097,28
2,Sooty Albatross,5,330,all dark plumage,1.4366429511989867,28
2,Sooty Albatross,6,104,long slim body,0.7306490370205471,28
2,Sooty Albatross,7,7,yellow bill,0.0,28
2,Sooty Albatross,8,3,raucous call,0.0,28
2,Sooty Albatross,9,8,small beak,0.0,28
2,Sooty Albatross,10,1,wingspan of up to 3 5 feet,0.0,28
3,Groove billed Ani,1,41,red eye,5.015980855623881,30
3,Groove billed Ani,2,198,blue sheen on the wings,3.429676723480225,30
3,Groove billed Ani,3,530,orange eyes,2.7775965372721356,30
3,Groove billed Ani,4,29,black plumage,1.1890364329020182,30
3,Groove billed Ani,5,569,long curved beak,0.24924929464856785,30
3,Groove billed Ani,6,374,tail with white bars,0.05581332494815191,30
